Operator,Scheme Name,Area,Approval Number,Recovery Method,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
CNRL,,Cold Lake,4746P,Commercial,587.48,596.72,637.59,678.74,705.61,718.99,697.25,696.88,763.21,702.21,696.32,674.99,2010
CNRL,,Cold Lake,6726I,Commercial,171.54,193.66,187.71,177.54,176.9,174.5,160.53,155.97,168.22,168.27,139.73,143.48,2010
Baytex,Cliffdale Pilot,Peace River,11034E,Commercial-CSS,0.0,2.55,6.15,2.25,4.16,10.59,5.83,3.27,9.18,20.09,15.42,13.15,2010
North Peace Energy Corp.,Red Earth,Peace River,11209A,Commercial-CSS,10.3,4.7,3.11,2.21,1.63,0.51,0.0,0.0,0.4,0.0,0.0,0.0,2010
Penn West,Seal,Peace River,11377A,Commercial-CSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
Baytex,Harmon Valley Pilot,Peace River,11551,Commercial-CSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
Shell,Peace River,Peace River,8143L,Commercial-CSS,1340.08,1235.73,1318.55,1191.78,1178.15,1082.17,1061.12,1110.13,996.18,885.56,974.09,747.27,2010
Imperial,Cold Lake,Cold Lake,8558P,Commercial-CSS,23584.24,24413.06,23835.73,23031.68,22084.79,22156.21,22194.56,22850.41,21877.32,23042.23,23599.28,23806.84,2010
CNRL,Primrose and Wolf Lake,"Athabasca, Cold Lake",9140K,Commercial-CSS,9071.36,11809.19,14175.16,11523.64,15403.76,14905.9,14350.75,13600.61,11965.32,13039.26,17454.68,18169.03,2010
Devon,Jackfish 1,Athabasca,10097D,Commercial-SAGD,4434.35,4177.67,4378.23,4389.09,5004.16,5103.06,4665.13,4495.25,1342.61,2278.31,4340.02,4547.39,2010
Shell,Orion,Cold Lake,10103E,Commercial-SAGD,402.46,362.65,451.76,493.92,517.53,529.01,576.5,556.85,583.73,587.62,641.7,631.1,2010
Connacher Oil And Gas Limited,Great Divide,Athabasca,10587C,Commercial-SAGD,1050.3,1134.17,1156.09,1079.4,822.28,1029.8,1059.76,1098.6,1106.02,1113.1,1158.52,1183.47,2010
MEG,Christina Lake,Athabasca,10773D,Commercial-SAGD,1222.04,2012.71,2666.2,3596.39,3883.73,4189.44,4016.79,4290.65,843.95,4507.48,4475.88,4251.55,2010
Statoil Canada Ltd.,Leismer,Athabasca,10935E,Commercial-SAGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,81.05,138.44,180.31,2010
Connacher Oil And Gas Limited,Algar,Athabasca,11253C,Commercial-SAGD,0.0,0.0,0.0,0.0,0.0,35.71,102.08,359.34,619.31,864.87,957.1,1041.9,2010
Cenovus,Pelican Lake,Athabasca,11469,Commercial-SAGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
Cenovus,Christina Lake,Athabasca,8591O,Commercial-SAGD,2295.47,2116.0,2272.59,2224.93,2477.72,2287.79,2379.6,2329.67,2260.87,2442.28,2540.92,2738.25,2010
Cenovus,Foster Creek,Athabasca,8623Z,Commercial-SAGD,15683.1,16847.06,16329.6,16494.71,16118.14,15968.98,16020.69,15098.24,17056.07,15663.25,16508.77,16905.57,2010
Suncor,Mackay River,Athabasca,8668G,Commercial-SAGD,4644.87,5330.79,5192.48,5191.21,5173.43,5119.03,5136.32,5160.78,3407.92,4857.96,5560.43,5292.64,2010
Japan Canada Oil Sands Limited,Hangingstone,Athabasca,8788I,Commercial-SAGD,1186.33,1155.23,1062.03,783.28,1218.67,1166.01,1132.23,1080.17,1188.32,1133.37,1214.59,1129.26,2010
Suncor,Firebag,Athabasca,8870R,Commercial-SAGD,8404.58,8923.0,9186.13,8768.9,8702.65,9087.3,9276.57,9066.82,5617.21,7874.85,8651.79,8643.08,2010
Total E&P Joslyn Ltd.,Joslyn Creek,Athabasca,9272E,Commercial-SAGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
ConocoPhillips,Surmont,Athabasca,9426F,Commercial-SAGD,2552.84,2689.48,3042.65,3130.72,3212.65,3106.61,3412.86,3441.54,3239.38,3619.08,3552.45,3585.86,2010
ConocoPhillips,Surmont Pilot,Athabasca,9460C,Commercial-SAGD,111.31,110.54,114.08,113.96,116.93,100.89,116.33,128.68,138.91,136.13,137.09,135.33,2010
Nexen,Long Lake,Athabasca,9485I,Commercial-SAGD,2576.6,2803.16,3490.64,3906.26,3737.76,4240.79,4459.99,3984.57,3819.51,4604.76,4176.14,4628.39,2010
Husky,Tucker Lake,Cold Lake,9835H,Commercial-SAGD,755.92,668.59,589.3,561.54,206.04,575.83,668.45,695.59,592.49,561.31,814.15,992.62,2010
CNRL,,Athabasca,10147D,Enhanced Recovery,686.19,693.14,660.99,581.99,558.01,561.69,630.67,599.75,558.58,557.86,534.58,517.95,2010
CNRL,,Athabasca,10423E,Enhanced Recovery,1655.57,1715.3,1799.24,1818.69,1999.72,2084.44,2074.25,2266.57,2203.49,2294.09,2263.32,2182.35,2010
CNRL,,Athabasca,10787A,Enhanced Recovery,123.03,119.25,118.17,108.58,166.03,186.18,168.81,299.56,224.87,213.98,250.95,238.13,2010
Murphy,,Peace River,11320,Enhanced Recovery,38.74,50.49,64.67,50.7,47.5,68.17,23.39,23.42,11.61,14.92,11.32,13.34,2010
Cenovus,Brintnell,Athabasca,9404K,Enhanced Recovery,3617.22,3876.13,3805.3,3716.25,3651.55,3729.43,3776.49,3689.69,3643.4,3615.28,3537.78,3209.64,2010
CNRL,,Athabasca,9673H,Enhanced Recovery,1755.87,1565.57,1519.6,1640.5,1619.81,1611.82,1495.86,1593.25,1571.62,1586.61,1463.83,1392.38,2010
MEG,GRIPE,Athabasca,10100B,Experimental,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
Cenovus,,Athabasca,10440H,Experimental,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
